annotator	all	argument	emotion	sentiment	topic
Annotator_1	0.2716985	0.15648299999999998	0.1693085	0.1558425	0.166423
Annotator_2	0.330485	0.2363545	0.244245	0.2439685	0.2249855
Annotator_3	0.2432125	0.2008995	0.21746600000000002	0.19882049999999998	0.197332
Annotator_4	0.3087235	0.22263149999999998	0.258863	0.23876850000000002	0.23384149999999998
Annotator_5	0.38692099999999996	0.2620135	0.288489	0.304351	0.297981
