x	1	5	10	15
0	1.614799	2.504512	3.010279	3.323908
1	1.686795	3.332267	5.796089	6.569019
2	1.569150	1.930159	3.403099	4.294346
3	1.670025	3.328711	5.661610	6.435362
4	1.283565	2.102869	5.050749	5.812673
